辽宁移动直播测试（支持回看与时移）,#genre#
CCTV10标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226194/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226792/index.m3u8
CCTV11标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226193/index.m3u8
CCTV12标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226192/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226862/index.m3u8
CCTV13标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226191/index.m3u8
CCTV14标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226181/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226789/index.m3u8
CCTV15标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226180/index.m3u8
CCTV17标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226866/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226908/index.m3u8
安多卫视标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227160/index.m3u8
安徽卫视标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226196/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226856/index.m3u8
北京卫视标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226185/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226823/index.m3u8
兵团卫视标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226859/index.m3u8
东方卫视标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226168/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226872/index.m3u8
东南卫视标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226186/index.m3u8
甘肃卫视标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226166/index.m3u8
甘肃卫视标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226875/index.m3u8
广东卫视标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226165/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226878/index.m3u8
广西卫视标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226150/index.m3u8
贵州卫视标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226164/index.m3u8
海南卫视标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226140/index.m3u8
河北卫视标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226163/index.m3u8
河南卫视标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226146/index.m3u8
黑龙江卫视标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226881/index.m3u8
湖北卫视标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226162/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226877/index.m3u8
湖南卫视标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226161/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226772/index.m3u8
吉林卫视标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226159/index.m3u8
江苏卫视标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226143/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226781/index.m3u8
江西卫视标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226142/index.m3u8
教育卫视1标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226732/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226171/index.m3u8
教育卫视2标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226170/index.m3u8
教育卫视3标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226950/index.m3u8
教育卫视4标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226940/index.m3u8
康巴卫视标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227111/index.m3u8
辽宁卫视标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226141/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226767/index.m3u8
内蒙古卫视标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226155/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226886/index.m3u8
宁夏卫视标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226154/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226804/index.m3u8
农林卫视标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227108/index.m3u8
青海卫视标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226153/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226889/index.m3u8
厦门卫视标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226803/index.m3u8
山东教育卫视标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227166/index.m3u8
